Country Code,Region,IncomeGroup,TableName
AUT,Europe & Central Asia,High income,Austria
BEL,Europe & Central Asia,High income,Belgium
BGR,Europe & Central Asia,Upper middle income,Bulgaria
HRV,Europe & Central Asia,High income,Croatia
DNK,Europe & Central Asia,High income,Denmark
EST,Europe & Central Asia,High income,Estonia
FRA,Europe & Central Asia,High income,France
DEU,Europe & Central Asia,High income,Germany
GRC,Europe & Central Asia,High income,Greece
HUN,Europe & Central Asia,High income,Hungary
IRL,Europe & Central Asia,High income,Ireland
ITA,Europe & Central Asia,High income,Italy
LVA,Europe & Central Asia,High income,Latvia
LTU,Europe & Central Asia,High income,Lithuania
NLD,Europe & Central Asia,High income,Netherlands
POL,Europe & Central Asia,High income,Poland
PRT,Europe & Central Asia,High income,Portugal
ROU,Europe & Central Asia,Upper middle income,Romania
SRB,Europe & Central Asia,Upper middle income,Serbia
SVN,Europe & Central Asia,High income,Slovenia
ESP,Europe & Central Asia,High income,Spain
SWE,Europe & Central Asia,High income,Sweden
CHE,Europe & Central Asia,High income,Switzerland
UKR,Europe & Central Asia,Lower middle income,Ukraine
GBR,Europe & Central Asia,High income,United Kingdom
